server	variant	threads	multiplier	round	tps	lat_avg_ms	lat_p95_ms
ivy-c8220	large-multiplier	32	50	1	42.94	740.54	2159.29
ivy-c8220	large-multiplier	32	75	1	44.18	723.66	1973.38
ivy-c8220	large-multiplier	32	100	1	44.78	708.46	2009.23
ivy-c8220	large-multiplier	32	150	1	43.79	720.18	1938.16
ivy-c8220	large-multiplier	32	200	1	45.61	695.71	1973.38
ivy-c8220	large-multiplier	32	300	1	43.91	722.04	2238.47
ivy-c8220	large-multiplier	32	500	1	43.12	729.67	2120.76
ivy-c8220	large-multiplier	32	0	2	45.28	706.44	1973.38
ivy-c8220	large-multiplier	32	5	2	43.61	731.69	2120.76
ivy-c8220	large-multiplier	32	10	2	43.43	730.76	2045.74
ivy-c8220	large-multiplier	32	25	2	46.33	689.69	1973.38
ivy-c8220	large-multiplier	32	50	2	43.67	727.66	2120.76
ivy-c8220	large-multiplier	32	75	2	43.24	739.60	2045.74
ivy-c8220	large-multiplier	32	100	2	43.99	722.87	1869.60
ivy-c8220	large-multiplier	32	150	2	37.73	840.06	2405.65
ivy-c8220	large-multiplier	32	200	2	38.67	818.61	2449.36
ivy-c8220	large-multiplier	32	300	2	43.80	727.76	2120.76
ivy-c8220	large-multiplier	32	500	2	43.28	733.20	2120.76
ivy-c8220	large-multiplier	32	0	3	44.89	712.57	2082.91
ivy-c8220	large-multiplier	32	5	3	44.54	717.60	2009.23
ivy-c8220	large-multiplier	32	10	3	42.93	742.37	2082.91
ivy-c8220	large-multiplier	32	25	3	43.97	723.00	2082.91
ivy-c8220	large-multiplier	32	50	3	44.71	714.25	2082.91
ivy-c8220	large-multiplier	32	75	3	43.23	736.60	2045.74
ivy-c8220	large-multiplier	32	100	3	43.79	730.66	2159.29
ivy-c8220	large-multiplier	32	150	3	43.22	733.16	1973.38
ivy-c8220	large-multiplier	32	200	3	44.96	709.39	1973.38
ivy-c8220	large-multiplier	32	300	3	44.60	712.99	1938.16
ivy-c8220	large-multiplier	32	500	3	42.49	748.98	2082.91
ivy-c8220	large-multiplier	32	0	4	44.23	723.38	1973.38
ivy-c8220	large-multiplier	32	5	4	45.77	691.79	2082.91
ivy-c8220	large-multiplier	32	10	4	43.59	733.77	2120.76
ivy-c8220	large-multiplier	32	25	4	44.15	719.30	1973.38
ivy-c8220	large-multiplier	32	50	4	44.17	709.44	2009.23
ivy-c8220	large-multiplier	32	75	4	44.61	713.56	2045.74
ivy-c8220	large-multiplier	32	100	4	44.01	726.98	2238.47
ivy-c8220	large-multiplier	32	150	4	43.11	740.85	1938.16
ivy-c8220	large-multiplier	32	200	4	43.29	730.75	1973.38
ivy-c8220	large-multiplier	32	300	4	44.85	711.48	2159.29
ivy-c8220	large-multiplier	32	500	4	44.14	719.67	2198.52
ivy-c8220	large-multiplier	32	0	5	43.08	735.53	2198.52
ivy-c8220	large-multiplier	32	5	5	43.53	727.13	1973.38
ivy-c8220	large-multiplier	32	10	5	46.23	679.85	2045.74
ivy-c8220	large-multiplier	32	25	5	44.33	717.11	2009.23
ivy-c8220	large-multiplier	32	50	5	43.31	733.82	2120.76
ivy-c8220	large-multiplier	32	75	5	44.88	708.53	2009.23
ivy-c8220	large-multiplier	32	100	5	44.98	705.34	2045.74
ivy-c8220	large-multiplier	32	150	5	44.07	721.21	1973.38
ivy-c8220	large-multiplier	32	200	5	44.67	715.84	2045.74
ivy-c8220	large-multiplier	32	300	5	43.79	724.27	2120.76
ivy-c8220	large-multiplier	32	500	5	43.64	732.15	1973.38
ivy-c8220	large-multiplier	64	0	1	38.26	1671.80	4437.27
ivy-c8220	large-multiplier	64	5	1	43.67	1443.49	3095.38
ivy-c8220	large-multiplier	64	10	1	45.23	1411.27	3386.99
ivy-c8220	large-multiplier	64	25	1	44.41	1433.89	3639.94
ivy-c8220	large-multiplier	64	50	1	43.05	1478.87	3267.19
ivy-c8220	large-multiplier	64	75	1	44.28	1424.25	3267.19
ivy-c8220	large-multiplier	64	100	1	44.14	1422.63	3208.88
ivy-c8220	large-multiplier	64	150	1	43.93	1447.92	3386.99
ivy-c8220	large-multiplier	64	200	1	42.49	1490.62	3326.55
ivy-c8220	large-multiplier	64	300	1	43.53	1464.99	3511.19
ivy-c8220	large-multiplier	64	500	1	44.73	1401.14	3574.99
ivy-c8220	large-multiplier	64	0	2	44.18	1438.14	3326.55
ivy-c8220	large-multiplier	64	5	2	43.80	1454.64	3386.99
ivy-c8220	large-multiplier	64	10	2	43.76	1436.94	3511.19
ivy-c8220	large-multiplier	64	25	2	42.90	1472.43	3267.19
ivy-c8220	large-multiplier	64	50	2	45.03	1403.86	3267.19
ivy-c8220	large-multiplier	64	75	2	44.53	1423.25	3639.94
ivy-c8220	large-multiplier	64	100	2	43.08	1467.55	3639.94
ivy-c8220	large-multiplier	64	150	2	44.53	1425.12	3448.53
ivy-c8220	large-multiplier	64	200	2	44.05	1427.39	3386.99
ivy-c8220	large-multiplier	64	300	2	43.14	1449.72	3448.53
ivy-c8220	large-multiplier	64	500	2	44.11	1421.44	3574.99
ivy-c8220	large-multiplier	64	0	3	44.26	1415.91	3386.99
ivy-c8220	large-multiplier	64	5	3	44.92	1404.85	3773.42
ivy-c8220	large-multiplier	64	10	3	43.22	1473.33	3574.99
ivy-c8220	large-multiplier	64	25	3	41.96	1493.28	3639.94
ivy-c8220	large-multiplier	64	50	3	45.75	1382.86	3095.38
ivy-c8220	large-multiplier	64	75	3	40.60	1547.49	3841.98
ivy-c8220	large-multiplier	64	100	3	45.12	1389.79	3773.42
ivy-c8220	large-multiplier	64	150	3	44.92	1407.27	3267.19
ivy-c8220	large-multiplier	64	200	3	44.18	1433.72	3386.99
ivy-c8220	large-multiplier	64	300	3	42.61	1481.90	3326.55
ivy-c8220	large-multiplier	64	500	3	43.19	1478.81	3326.55
ivy-c8220	large-multiplier	64	0	4	46.26	1373.66	3267.19
ivy-c8220	large-multiplier	64	5	4	44.96	1421.54	3574.99
ivy-c8220	large-multiplier	64	10	4	43.06	1471.55	3448.53
ivy-c8220	large-multiplier	64	25	4	44.13	1449.53	3639.94
ivy-c8220	large-multiplier	64	50	4	42.89	1478.43	3208.88
ivy-c8220	large-multiplier	64	75	4	41.87	1504.98	3511.19
ivy-c8220	large-multiplier	64	100	4	45.04	1404.34	3511.19
ivy-c8220	large-multiplier	64	150	4	42.26	1486.47	4203.93
ivy-c8220	large-multiplier	64	200	4	43.68	1447.79	3326.55
ivy-c8220	large-multiplier	64	300	4	45.35	1398.03	3448.53
ivy-c8220	large-multiplier	64	500	4	43.57	1462.97	3386.99
ivy-c8220	large-multiplier	64	0	5	44.47	1428.79	3326.55
ivy-c8220	large-multiplier	64	5	5	41.57	1519.92	3639.94
ivy-c8220	large-multiplier	64	10	5	44.38	1421.36	3386.99
ivy-c8220	large-multiplier	64	25	5	43.24	1452.77	3706.08
ivy-c8220	large-multiplier	64	50	5	44.14	1430.72	3773.42
ivy-c8220	large-multiplier	64	75	5	44.47	1415.17	3841.98
ivy-c8220	large-multiplier	64	100	5	43.35	1460.14	3511.19
ivy-c8220	large-multiplier	64	150	5	40.74	1551.38	3639.94
ivy-c8220	large-multiplier	64	200	5	42.57	1482.60	3773.42
ivy-c8220	large-multiplier	64	300	5	44.23	1445.32	3386.99
ivy-c8220	large-multiplier	64	500	5	42.10	1498.04	3448.53
