server	variant	threads	multiplier	round	tps	lat_avg_ms	lat_p95_ms
broadwell-xl170	large-multiplier	16	50	4	679.07	23.55	77.19
broadwell-xl170	large-multiplier	16	75	4	648.35	24.67	80.03
broadwell-xl170	large-multiplier	16	100	4	638.05	25.06	78.60
broadwell-xl170	large-multiplier	16	150	4	633.14	25.26	80.03
broadwell-xl170	large-multiplier	16	200	4	615.77	25.98	80.03
broadwell-xl170	large-multiplier	16	300	4	640.45	24.98	75.82
broadwell-xl170	large-multiplier	16	500	4	641.74	24.92	77.19
broadwell-xl170	large-multiplier	16	0	5	619.35	25.82	77.19
broadwell-xl170	large-multiplier	16	5	5	622.02	25.71	77.19
broadwell-xl170	large-multiplier	16	10	5	605.68	26.41	78.60
broadwell-xl170	large-multiplier	16	25	5	549.61	29.08	92.42
broadwell-xl170	large-multiplier	16	50	5	607.60	26.33	78.60
broadwell-xl170	large-multiplier	16	75	5	633.97	25.22	75.82
broadwell-xl170	large-multiplier	16	100	5	653.18	24.49	71.83
broadwell-xl170	large-multiplier	16	150	5	610.28	26.21	78.60
broadwell-xl170	large-multiplier	16	200	5	608.17	26.30	78.60
broadwell-xl170	large-multiplier	16	300	5	621.07	25.75	75.82
broadwell-xl170	large-multiplier	16	500	5	621.42	25.73	77.19
broadwell-xl170	large-multiplier	32	0	1	734.72	43.54	112.67
broadwell-xl170	large-multiplier	32	5	1	738.93	43.28	112.67
broadwell-xl170	large-multiplier	32	10	1	711.10	44.96	116.80
broadwell-xl170	large-multiplier	32	25	1	735.92	43.47	112.67
broadwell-xl170	large-multiplier	32	50	1	768.61	41.61	104.84
broadwell-xl170	large-multiplier	32	75	1	674.85	47.37	123.28
broadwell-xl170	large-multiplier	32	100	1	712.86	44.87	116.80
broadwell-xl170	large-multiplier	32	150	1	655.48	48.80	130.13
broadwell-xl170	large-multiplier	32	200	1	680.93	46.95	121.08
broadwell-xl170	large-multiplier	32	300	1	680.27	47.02	125.52
broadwell-xl170	large-multiplier	32	500	1	685.12	46.69	123.28
broadwell-xl170	large-multiplier	32	0	2	710.15	45.02	121.08
broadwell-xl170	large-multiplier	32	5	2	738.74	43.27	114.72
broadwell-xl170	large-multiplier	32	10	2	689.19	46.42	121.08
broadwell-xl170	large-multiplier	32	25	2	695.11	46.01	123.28
broadwell-xl170	large-multiplier	32	50	2	673.82	47.46	127.81
broadwell-xl170	large-multiplier	32	75	2	705.12	45.35	121.08
broadwell-xl170	large-multiplier	32	100	2	604.86	52.89	144.97
broadwell-xl170	large-multiplier	32	150	2	670.23	47.73	125.52
broadwell-xl170	large-multiplier	32	200	2	698.20	45.79	118.92
broadwell-xl170	large-multiplier	32	300	2	632.84	50.50	130.13
broadwell-xl170	large-multiplier	32	500	2	635.04	50.33	130.13
broadwell-xl170	large-multiplier	32	0	3	661.17	48.38	127.81
broadwell-xl170	large-multiplier	32	5	3	667.07	47.95	123.28
broadwell-xl170	large-multiplier	32	10	3	679.95	47.05	116.80
broadwell-xl170	large-multiplier	32	25	3	654.78	48.84	121.08
broadwell-xl170	large-multiplier	32	50	3	623.66	51.30	127.81
broadwell-xl170	large-multiplier	32	75	3	600.39	53.29	132.49
broadwell-xl170	large-multiplier	32	100	3	602.87	53.06	132.49
broadwell-xl170	large-multiplier	32	150	3	597.90	53.45	130.13
broadwell-xl170	large-multiplier	32	200	3	600.99	53.22	130.13
broadwell-xl170	large-multiplier	32	300	3	650.32	49.16	121.08
broadwell-xl170	large-multiplier	32	500	3	611.94	52.28	130.13
broadwell-xl170	large-multiplier	32	0	4	660.57	48.41	123.28
broadwell-xl170	large-multiplier	32	5	4	647.43	49.38	125.52
broadwell-xl170	large-multiplier	32	10	4	670.86	47.65	116.80
broadwell-xl170	large-multiplier	32	25	4	683.26	46.78	114.72
broadwell-xl170	large-multiplier	32	50	4	629.84	50.78	121.08
broadwell-xl170	large-multiplier	32	75	4	632.32	50.59	123.28
broadwell-xl170	large-multiplier	32	100	4	625.52	51.12	127.81
broadwell-xl170	large-multiplier	32	150	4	634.49	50.42	123.28
broadwell-xl170	large-multiplier	32	200	4	649.15	49.28	123.28
broadwell-xl170	large-multiplier	32	300	4	687.18	46.53	112.67
broadwell-xl170	large-multiplier	32	500	4	547.13	58.43	150.29
broadwell-xl170	large-multiplier	32	0	5	704.82	45.36	116.80
broadwell-xl170	large-multiplier	32	5	5	705.28	45.35	114.72
broadwell-xl170	large-multiplier	32	10	5	628.34	50.91	127.81
broadwell-xl170	large-multiplier	32	25	5	686.13	46.62	116.80
broadwell-xl170	large-multiplier	32	50	5	654.62	48.87	118.92
broadwell-xl170	large-multiplier	32	75	5	647.79	49.36	123.28
broadwell-xl170	large-multiplier	32	100	5	646.67	49.45	121.08
broadwell-xl170	large-multiplier	32	150	5	641.57	49.82	123.28
broadwell-xl170	large-multiplier	32	200	5	687.91	46.50	112.67
broadwell-xl170	large-multiplier	32	300	5	735.25	43.50	104.84
broadwell-xl170	large-multiplier	32	500	5	629.39	50.83	127.81
broadwell-xl170	large-multiplier	64	0	1	778.24	82.11	196.89
broadwell-xl170	large-multiplier	64	5	1	759.18	84.25	196.89
broadwell-xl170	large-multiplier	64	10	1	718.56	88.98	204.11
broadwell-xl170	large-multiplier	64	25	1	697.99	91.64	207.82
broadwell-xl170	large-multiplier	64	50	1	681.24	93.83	215.44
broadwell-xl170	large-multiplier	64	75	1	582.63	109.78	262.64
broadwell-xl170	large-multiplier	64	100	1	627.48	101.95	235.74
broadwell-xl170	large-multiplier	64	150	1	636.16	100.54	231.53
broadwell-xl170	large-multiplier	64	200	1	642.39	99.52	235.74
broadwell-xl170	large-multiplier	64	300	1	642.01	99.63	227.40
broadwell-xl170	large-multiplier	64	500	1	647.93	98.71	223.34
broadwell-xl170	large-multiplier	64	0	2	655.75	97.53	235.74
broadwell-xl170	large-multiplier	64	5	2	648.35	98.60	235.74
broadwell-xl170	large-multiplier	64	10	2	635.43	100.64	235.74
broadwell-xl170	large-multiplier	64	25	2	627.61	101.87	231.53
broadwell-xl170	large-multiplier	64	50	2	630.24	101.48	231.53
broadwell-xl170	large-multiplier	64	75	2	624.37	102.42	235.74
broadwell-xl170	large-multiplier	64	100	2	638.05	100.20	227.40
broadwell-xl170	large-multiplier	64	150	2	628.78	101.74	231.53
broadwell-xl170	large-multiplier	64	200	2	623.58	102.56	235.74
broadwell-xl170	large-multiplier	64	300	2	628.25	101.80	231.53
broadwell-xl170	large-multiplier	64	500	2	630.44	101.48	231.53
broadwell-xl170	large-multiplier	64	0	3	642.02	99.63	240.02
broadwell-xl170	large-multiplier	64	5	3	634.29	100.68	231.53
broadwell-xl170	large-multiplier	64	10	3	633.66	100.94	235.74
broadwell-xl170	large-multiplier	64	25	3	630.74	101.43	227.40
broadwell-xl170	large-multiplier	64	50	3	625.36	102.30	231.53
broadwell-xl170	large-multiplier	64	75	3	616.58	103.76	240.02
broadwell-xl170	large-multiplier	64	100	3	614.98	103.99	235.74
broadwell-xl170	large-multiplier	64	150	3	604.79	105.70	235.74
broadwell-xl170	large-multiplier	64	200	3	623.52	102.56	227.40
broadwell-xl170	large-multiplier	64	300	3	611.97	104.51	227.40
broadwell-xl170	large-multiplier	64	500	3	616.80	103.67	231.53
broadwell-xl170	large-multiplier	64	0	4	655.73	97.55	227.40
broadwell-xl170	large-multiplier	64	5	4	622.94	102.64	240.02
broadwell-xl170	large-multiplier	64	10	4	631.05	101.22	235.74
broadwell-xl170	large-multiplier	64	25	4	608.16	105.13	235.74
broadwell-xl170	large-multiplier	64	50	4	620.97	102.99	235.74
broadwell-xl170	large-multiplier	64	75	4	600.79	106.38	235.74
broadwell-xl170	large-multiplier	64	100	4	544.92	117.41	282.25
broadwell-xl170	large-multiplier	64	150	4	604.19	105.87	235.74
broadwell-xl170	large-multiplier	64	200	4	601.56	106.33	235.74
broadwell-xl170	large-multiplier	64	300	4	602.01	106.19	235.74
broadwell-xl170	large-multiplier	64	500	4	614.06	104.14	231.53
broadwell-xl170	large-multiplier	64	0	5	644.22	99.30	231.53
broadwell-xl170	large-multiplier	64	5	5	640.61	99.85	231.53
broadwell-xl170	large-multiplier	64	10	5	644.33	99.27	227.40
broadwell-xl170	large-multiplier	64	25	5	613.02	104.36	235.74
broadwell-xl170	large-multiplier	64	50	5	605.74	105.53	235.74
broadwell-xl170	large-multiplier	64	75	5	593.31	107.80	240.02
broadwell-xl170	large-multiplier	64	100	5	609.98	104.87	235.74
broadwell-xl170	large-multiplier	64	150	5	600.38	106.50	235.74
broadwell-xl170	large-multiplier	64	200	5	599.81	106.62	235.74
broadwell-xl170	large-multiplier	64	300	5	602.35	106.21	240.02
broadwell-xl170	large-multiplier	64	500	5	611.96	104.50	231.53
